pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist,pl_eqt,st_teff,sy_snum
Kepler-1877 b,2021.0,Transit,0.48,,2.37752807,285.312,1227.0,5637,1
Kepler-1878 b,2021.0,Transit,1.7,,4.445911,1494.3,949.0,5673,1
Kepler-1879 b,2021.0,Transit,,,10.61340671,627.171,,5854.91,1
Kepler-188 b,2014.0,Transit,1.574,,,968.544,,5706,1
Kepler-188 c,2014.0,Transit,3.08,,5.996534997,968.544,1094.0,6020,1
Kepler-1880 b,2021.0,Transit,1.71,,6.309229,611.041,650.0,4545,1
Kepler-1881 b,2021.0,Transit,2.73,,159.388788,1057.21,289.0,5135,1
Kepler-1882 b,2021.0,Transit,1.74,,13.7872576,443.371,1032.0,5888,1
Kepler-1883 b,2021.0,Transit,,,103.4269873,1377.61,,5667,1
Kepler-1884 b,2021.0,Transit,,,8.98826122,1443.09,,6031,1
Kepler-1885 b,2021.0,Transit,2.6,,2.5225852,818.482,1163.0,5513,1
Kepler-1886 b,2021.0,Transit,,,24.2758992,1059.51,,5581,1
Kepler-1887 b,2021.0,Transit,2.88,,19.94752664,1366.18,623.0,5751,1
Kepler-1888 b,2021.0,Transit,1.32578716,,11.39169979,402.947,,5557,1
Kepler-1889 b,2021.0,Transit,2.94360686,,37.30369949,1395.13,,5646,1
Kepler-189 b,2014.0,Transit,1.21,,10.399931,591.534,,5235,1
Kepler-189 c,2014.0,Transit,2.81,,20.13488968,591.534,543.0,5228,1
Kepler-1890 b,2021.0,Transit,0.84,,4.82052932,529.596,1350.0,6483,1
Kepler-1891 b,2021.0,Transit,1.52139156,,4.02229023,596.24,,5516,1
Kepler-1892 b,2021.0,Transit,1.83707938,,6.331230164,851.595,,5383,1
Kepler-1893 b,2021.0,Transit,1.52,,4.17939037,1050.72,1194.0,5633,1
Kepler-1894 b,2021.0,Transit,1.26,,2.76263462,935.191,1232.0,5772,1
Kepler-1894 c,2023.0,Transit,,,5.05368985,935.191,,5467,1
Kepler-1895 b,2021.0,Transit,1.41,,6.0703203,984.187,796.0,5076,1
Kepler-1896 b,2021.0,Transit,2.68,,44.8698382,1732.91,536.0,6122,1
Kepler-1897 b,2021.0,Transit,2.4,,24.2204586,983.174,511.0,5172,1
Kepler-1898 b,2021.0,Transit,0.93,,4.76559135,360.921,1168.0,5702,1
Kepler-1899 b,2021.0,Transit,,,4.09578199,711.509,,4732.81,1
Kepler-19 b,2011.0,Transit,2.53,,9.287009,218.562,781.0,5541,1
Kepler-19 c,2011.0,Transit Timing Variations,,16.58028128,28.519071,218.562,,,1
Kepler-19 d,2017.0,Radial Velocity,,22.5,62.95,218.562,,5544,1
Kepler-190 b,2014.0,Transit,,, et al. 2019</a>,44.7337701,,,1
Kepler-190 c,2014.0,Transit,0.0,0.0, Petigura 2018</a>,+44d44m01.57s,0.0, Petigura 2018</a>,1
Kepler-1900 b,2021.0,Transit,1.19,,2.98616791,1540.43,1356.0,6173,1
Kepler-1901 b,2021.0,Transit,1.18,,3.484149,1028.37,1208.0,5993,1
Kepler-1902 b,2021.0,Transit,1.02,,3.82222231,344.337,628.0,3854,1
Kepler-1903 b,2021.0,Transit,2.2,,17.06766,1775.44,791.0,6370,1
Kepler-1904 b,2021.0,Transit,1.36,,4.58,270.854,,,1
Kepler-1905 b,2021.0,Transit,1.4460734,,3.42392993,1051.53,,5788,1
Kepler-1906 b,2021.0,Transit,2.77615754,,7.362689972,1360.63,,5868,1
Kepler-1907 b,2021.0,Transit,0.88,,5.65243986,292.111,856.0,5159,1
Kepler-1907 c,2021.0,Transit,1.59,,14.86398,292.111,608.0,5142,1
Kepler-1909 b,2021.0,Transit,0.96,,2.39162484,763.662,1030.0,4935,1
Kepler-191 b,2014.0,Transit,1.4,,9.93967857,594.464,,5215,1
Kepler-191 c,2014.0,Transit,2.11,,17.73852054,594.464,578.0,5275,1
Kepler-191 d,2016.0,Transit,2.26,,5.945041017,594.464,832.0,5275,1
Kepler-1910 b,2021.0,Transit,1.184,,5.688769817,,,4234,1
Kepler-1911 b,2021.0,Transit,1.03,,5.99078221,269.912,987.0,5721,1
Kepler-1912 b,2021.0,Transit,1.86,,6.05922662,297.017,1221.0,5902,1
Kepler-1913 b,2021.0,Transit,1.79,,14.19593863,876.3,835.0,6202,1
Kepler-1914 b,2021.0,Transit,,,30.8278245,1621.56,,5664,1
Kepler-1915 b,2021.0,Transit,3.15,,13.8354142,1514.66,809.0,6031,1
Kepler-1916 b,2021.0,Transit,2.43,,31.2548347,2055.82,646.0,6215,1
Kepler-1917 b,2021.0,Transit,1.47,,12.90237151,909.037,680.0,5534,1
Kepler-1918 b,2021.0,Transit,2.82,,47.0564621,1030.11,497.0,5889,1
Kepler-1919 b,2021.0,Transit,2.62390658,,37.88660049,1177.53,,5513,1
Kepler-192 b,2014.0,Transit,2.2,,9.92672514,651.674,747.0,5543,1
Kepler-192 c,2014.0,Transit,2.669,,,651.674,,5527,1
Kepler-192 d,2016.0,Transit,0.89,,6.47027579,651.674,862.0,5543,1
Kepler-1920 b,2021.0,Transit,2.8,,30.2541186,885.913,660.0,6277,1
Kepler-1921 b,2021.0,Transit,2.89459458,,20.03479958,928.989,,6120,1
Kepler-1921 c,2023.0,Transit,1.44,,3.15721824,928.989,1792.0,6120,1
Kepler-1922 b,2021.0,Transit,1.47,,13.2226208,1344.29,740.0,5933,1
Kepler-1923 b,2021.0,Transit,1.95958179,,52.60969925,990.838,,5881,1
Kepler-1924 b,2021.0,Transit,1.91,,15.3317719,1910.77,821.0,5726,1
Kepler-1925 b,2021.0,Transit,,,46.7162336,1771.31,,5731,1
Kepler-1926 b,2021.0,Transit,,,42.87749034,667.405,,4991,1
Kepler-1927 b,2021.0,Transit,3.40627075,,73.75039673,1091,,6056,1
Kepler-1928 b,2021.0,Transit,2.41,,19.5777657,326.362,755.0,5839,1
Kepler-1929 b,2021.0,Transit,2.23,,59.3627946,508.201,566.0,5786,1
Kepler-193 b,2014.0,Transit,2.44,,11.38839971,1009.1,917.0,6343,1
Kepler-193 c,2014.0,Transit,2.85,,50.6984448,1009.1,558.0,6343,1
Kepler-1930 b,2021.0,Transit,1.65,,13.02678441,275.694,643.0,5083,1
Kepler-1931 b,2021.0,Transit,,,38.57610826,620.091,,6205.12,1
Kepler-1932 b,2021.0,Transit,1.42,,0.524176094,713.733,2045.0,5396,1
Kepler-1933 b,2021.0,Transit,,,4.94328929,328.007,,5742.17,1
Kepler-1934 b,2021.0,Transit,0.91307734,,1.419759989,428.514,,5925,1
Kepler-1935 b,2021.0,Transit,64.89,,3.9513822,904.702,1083.0,5570,1
Kepler-1936 b,2021.0,Transit,4.59,,126.55719,871.096,524.0,6501,1
Kepler-1937 b,2021.0,Transit,3.09,,9.6887216,905.069,1014.0,6457,1
Kepler-1938 b,2021.0,Transit,,,13.06243545,421.152,,4582,1
Kepler-1939 b,2021.0,Transit,,,2.790643481,189.833,,4525.59,1
Kepler-194 b,2014.0,Transit,1.443,,,1097.97,,5710,1
Kepler-194 c,2014.0,Transit,2.6,,17.30797625,1097.97,748.0,6085,1
Kepler-194 d,2014.0,Transit,2.334,,,1097.97,,5710,1
Kepler-1940 b,2021.0,Transit,1.28,,4.95060632,798.595,885.0,5431,1
Kepler-1941 b,2021.0,Transit,1.99,,31.3351397,1494.39,670.0,6418,1
Kepler-1942 b,2021.0,Transit,1.6,,4.626027246,842.492,1011.0,5834,1
Kepler-1943 b,2021.0,Transit,1.1,,4.85018974,1004.55,1098.0,6032,1
Kepler-1944 b,2021.0,Transit,2.41,,9.84262076,1076.48,801.0,5585,1
Kepler-1945 b,2021.0,Transit,1.05,,6.08004821,,808.0,4991,1
Kepler-1946 b,2021.0,Transit,,,3.035206175,1002.12,,5249,1
Kepler-1947 b,2021.0,Transit,0.0,0.0, Petigura 2018</a>,+42d20m33.29s,0.0, Petigura 2018</a>,1
Kepler-1948 b,2021.0,Transit,0.7,,15.57131611,193.903,391.0,3842,1
Kepler-1949 b,2021.0,Transit,2.21964541,,2.208280087,2617.35,,6028,1
Kepler-195 b,2014.0,Transit,2.22,,8.30784498,652.051,753.0,5324,1
Kepler-195 c,2014.0,Transit,1.72,,34.0962295,652.051,,5234,1
Kepler-1950 b,2021.0,Transit,1.52696349,,10.77690029,697.253,,5455,1
Kepler-1951 b,2021.0,Transit,1.27,,20.6579443,1277.32,728.0,5468,1
Kepler-1952 b,2021.0,Transit,1.29,,27.2111385,852.062,725.0,5973,1
Kepler-1953 b,2021.0,Transit,1.06,,6.24564633,605.631,731.0,4858,1
Kepler-1954 b,2021.0,Transit,1.27,,5.88350251,1373.83,949.0,5840,1
Kepler-1955 b,2021.0,Transit,,,14.2651545,449.351,,5825.26,1
Kepler-1956 b,2021.0,Transit,,,5.94373492,360.468,,4191,1
Kepler-1957 b,2021.0,Transit,0.82,,2.18659922,460.899,1099.0,4904,1
Kepler-1958 b,2021.0,Transit,1.65,,9.32867332,1320.38,801.0,5733,1
Kepler-1959 b,2021.0,Transit,,,6.38671206,479.263,,4989,1
Kepler-196 b,2014.0,Transit,1.9,,20.739886,451.312,,5128,1
Kepler-196 c,2014.0,Transit,2.24,,47.42766,451.312,,5163,1
Kepler-196 d,2021.0,Transit,2.92,,122.0804953,451.312,297.0,5132,1
Kepler-1960 b,2021.0,Transit,1.30749704,,2.297940016,1527.56,,6371,1
Kepler-1961 b,2021.0,Transit,,,5.60473115,1042.45,,5171,1
Kepler-1962 b,2021.0,Transit,1.21,,7.99147383,866.826,913.0,5931,1
Kepler-1963 b,2021.0,Transit,0.74437023,,1.962260008,492.847,,5726,1
Kepler-1964 b,2021.0,Transit,,,2.440839436,,,,1
Kepler-1965 b,2021.0,Transit,,,41.8681996,521.791,,5542.49,1
Kepler-1966 b,2021.0,Transit,,,8.61742738,484.601,,4764.58,1
Kepler-1967 b,2021.0,Transit,,,7.28171395,249.102,,4813,1
Kepler-1968 b,2021.0,Transit,1.42,,7.28122373,750.93,743.0,5009,1
Kepler-1969 b,2021.0,Transit,1.72,,6.64752101,1204.54,999.0,6046,1
Kepler-197 b,2014.0,Transit,1.112,,5.59931973,330.575,,,2
Kepler-197 c,2014.0,Transit,1.26,,10.34971385,330.575,932.0,6004,2
Kepler-197 d,2014.0,Transit,0.0,0.0, Petigura 2018</a>,+50d33m33.25s,0.0, Petigura 2018</a>,2
Kepler-197 e,2014.0,Transit,,,25.2100146,330.575,,5963.52,2
Kepler-1972 b,2022.0,Transit,0.98,,7.5459119,287.339,1392.0,6003,1
Kepler-1972 c,2022.0,Transit,0.91,,11.3220104,287.339,1215.0,6003,1
Kepler-1976 b,2023.0,Transit Timing Variations,11.69,,4.96,1314.51,,,1
Kepler-1977 b,2023.0,Transit,1.66,,4.53702121,592.711,798.0,4805,1
Kepler-1978 b,2023.0,Transit,2.67,,10.84969477,865.512,676.0,5251,1
Kepler-1979 b,2023.0,Transit,,,18.5084526,1076.27,,5690.05,1
Kepler-198 b,2014.0,Transit,,,17.79001678,495.358,,5569.29,1
Kepler-198 c,2014.0,Transit,2.47,,49.567416,495.358,,5574,1
Kepler-198 d,2016.0,Transit,1.393,,,495.358,,5681,1
Kepler-1980 b,2023.0,Transit,2.21,,33.0257179,1709.4,564.0,5819,1
Kepler-1981 b,2023.0,Transit,3.71,,453.543999,659.395,270.0,6109,1
Kepler-1982 b,2023.0,Transit,1.04,,3.82316376,558.855,1554.0,6597,1
Kepler-1983 b,2023.0,Transit,88.52,,7.32849062,424.428,797.0,5120,1
Kepler-1984 b,2023.0,Transit,0.80559999,,1.99285996,,,3638,1
Kepler-1985 b,2023.0,Transit,2.1,,3.420638,,1083.0,5285,1
